res_grp_cd,res_grp_nm,res_cd,res_nm,item_cd,item_nm,yymmdd,type,qty
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142937,꼬깔콘 군옥수수맛 67g(12입),2022-04-18,N,120.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142937,꼬깔콘 군옥수수맛 67g(12입),2022-04-19,D,8640.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142937,꼬깔콘 군옥수수맛 67g(12입),2022-04-19,N,6240.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142938,꼬깔콘 군옥수수맛 67g(20입),2022-04-18,D,0.0
3101,평스SN-1,10003106,평택_스낵_SN-1^BOX 제함기 #2,5142938,꼬깔콘 군옥수수맛 67g(20입),2022-04-18,N,700.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142936,꼬깔콘 고소한맛 134g,2022-04-18,D,0.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142936,꼬깔콘 고소한맛 134g,2022-04-18,N,1747.37
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142936,꼬깔콘 고소한맛 134g,2022-04-19,D,2273.68
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142936,꼬깔콘 고소한맛 134g,2022-04-19,N,1394.95
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142939,꼬깔콘 군옥수수맛 112g,2022-04-18,D,1500.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142939,꼬깔콘 군옥수수맛 112g,2022-04-18,N,0.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-19,D,0.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-19,N,462.74
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-20,D,2273.68
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-20,N,251.58
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-18,D,473.68
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142940,꼬깔콘 군옥수수맛 134g,2022-04-18,N,526.32
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142957,꼬깔콘 찰옥수수 134g,2022-04-20,D,0.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142957,꼬깔콘 찰옥수수 134g,2022-04-20,N,335.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142960,꼬깔콘 새우마요 134g,2022-04-19,D,0.0
3101,평스SN-1,10003107,평택_스낵_SN-1^BOX 제함기 #3,5142960,꼬깔콘 새우마요 134g,2022-04-19,N,416.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-18,D,0.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-18,N,1174.83
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-19,D,7200.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-19,N,2701.17
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-18,D,2500.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142935,꼬깔콘 고소한맛 112g,2022-04-18,N,0.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142939,꼬깔콘 군옥수수맛 112g,2022-04-18,D,0.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142939,꼬깔콘 군옥수수맛 112g,2022-04-18,N,4356.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142958,꼬깔콘 새우마요 67g,2022-04-18,D,0.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142958,꼬깔콘 새우마요 67g,2022-04-18,N,1823.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142959,꼬깔콘 새우마요 112g,2022-04-18,D,500.0
3101,평스SN-1,10003108,평택_스낵_SN-1^BOX 제함기 #4,5142959,꼬깔콘 새우마요 112g,2022-04-18,N,150.0
3102,평스SN-2,10003128,평택_스낵_SN-2^V-PILLOW 포장기 #1,5140805,치토스 바비큐 대 164g,2022-04-20,D,617.0
3102,평스SN-2,10003128,평택_스낵_SN-2^V-PILLOW 포장기 #1,5140805,치토스 바비큐 대 164g,2022-04-20,N,0.0
